gse_accession	geo_link	title	paper_url	doi	n_samples	n_patients	n_patients_basis	organism	platform	data_type	sample_types	treatment	timepoints	sample_groups	therapy_evidence	response_counts	n_responders_strict	n_nonresponders_strict	n_responders_dcb	n_nonresponders_dcb	survival_data	metadata_fields	verdict	verdict_reason	publication_flags
GSE277573	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE277573	Methylation cytometric pretreatment blood immune profiles with tumor mutation burden as prognostic indicators for survival outcomes in head and neck cancer patients on anti-PD-1 therapy	https://pubmed.ncbi.nlm.nih.gov/39558036/	10.1038/s41698-024-00759-8	100	100	assumed_one_per_sample	Homo sapiens	GPL21145;GPL33022	Methylation profiling by array	patient_other:100	treatment: Immunotherapy only=79, Immunotherapy + Chemotherapy=20, Immunotherapy + EGFRi=1	unknown	Sex: Male=75, Female=25; progression event: 1=71, 0=29; death event: 0=63, 1=37; arraytypes: IlluminaHumanMethylationEPICv1=69, IlluminaHumanMethylationEPICv2=31	class_only						True	age; arraytypes; days to death; days to progression; death event; pdl1 cps; progression event; Sex; tmb; treatment	SURVIVAL_ONLY	survival field present, no response field	
GSE259280	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE259280	Transcriptomic and proteomic spatial profiling of tertiary lymphoid aggregates in head and neck cancer reveal spatial tissue dynamics and profiles associated with immunotherapy response [protein]	https://pubmed.ncbi.nlm.nih.gov/39049036/	10.1186/s12967-024-05409-y	375	34	patient_id_from_title	Homo sapiens	GPL34246	Other	NEEDS_REVIEW:191;patient_tumor:184	not recorded	unknown	tissue: HNSCC=375; qc.flags: NA=375; bestresponse: PD=202, PR=76, SD=67, CR=30; roi_qc: TRUE=375; slide_tissue_qc: TRUE=375; pathway: Nivolumab=308, NA=22, Pembrolizumab=21, Epacadostat+Pembrolizumab=12, Carboplatin+Fluorouracil+CIVINF+Pembrolizumab=12; mortality: Y=296, N=57, NA=22; Sex: Male=264, Female=89, NA=22; smokingstatus: Previous=207, Never=69, Current=68, NA=22, Unknown=9; foi: TUMOU...	drug_named						True	age; bestresponse; countofloweprgene; foi; lib_size; mortality; nuclei.count; pathway; percentofloweprgene; pfs; qc.flags; responsesintme; responsesintumour; roi.x.coordinate; roi.y.coordinate; roi_qc; ruv_w1; ruv_w2; Sex; slide_tissue_qc; smokingstatus; tissue	SURVIVAL_ONLY	survival field present, no response field; 191 samples with unclassified sample type	
GSE286827	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE286827	4-1BB+ Tregs and inhibitory progenitor exhausted T cells confer resistance to anti-PD-L1 and anti-CTLA-4 combination therapy 	https://pubmed.ncbi.nlm.nih.gov/41045934/	10.1016/j.xcrm.2025.102408	87	29	patient_id_from_title	Homo sapiens	GPL20795	Expression profiling by high throughput sequencing	NEEDS_REVIEW:87	treatment: D+T=49, D=38	unknown	tissue: Oropharynx=52, Hypopharynx=15, Larynx=12, Oral cavity=8; hpv p16: positive=46, negative=41	drug_named						False	hpv p16; ici duration_days; tissue; treatment	NO_RESPONSE_LABELS	no response or survival field; 87 samples with unclassified sample type	RESPONSE_IN_PAPER_ONLY
GSE291246	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE291246	Induced B Cell Receptor Diversity Predicts PD-1 Blockade Immunotherapy Response	https://pubmed.ncbi.nlm.nih.gov/40314973/	10.1073/pnas.2501269122	35	unknown	unknown	Homo sapiens	GPL33762	Other	patient_tumor:29;patient_other:4;NEEDS_REVIEW:2	not recorded	unknown		class_only						False	condition	NO_RESPONSE_LABELS	no response or survival field; 2 samples with unclassified sample type; n_patients unknown (no patient IDs and repeated sampling or single-cell design)	RESPONSE_IN_PAPER_ONLY
GSE281729	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281729	Response-Adaptive Surgical Timing in neoadjuvant immunotherapy demonstrates enhanced pathologic treatment response in Head and Neck Squamous Cell Carcinoma	https://pubmed.ncbi.nlm.nih.gov/39585339/	10.1158/1078-0432.CCR-24-0037	67	67	assumed_one_per_sample	Homo sapiens	GPL24676	Expression profiling by high throughput sequencing	patient_tumor:67	treatment: Pre-treatment=36, Nivolumab and IDO-inhibitor=22, Nivolumab=9	unknown	tissue: Squamous cell carcinoma=67	drug_named						False	genotype; tissue; treatment	NO_RESPONSE_LABELS	no response or survival field	RESPONSE_IN_PAPER_ONLY
GSE310856	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE310856	Cisplatin-based chemoradiation induces delayed systemic tumor-specific T cells expansion in patients with locally advanced head and neck cancer	https://pubmed.ncbi.nlm.nih.gov/41749511/	10.1080/2162402X.2026.2635806	33	11	patient_id_from_title	Homo sapiens	GPL24676	Expression profiling by high throughput sequencing	patient_other:33	treatment: chemoradiation=22, No treatment=11	unknown	tissue: PBMC=33; cell type: PBMC=33	none						False	cell type; tissue; treatment	THERAPY_UNCONFIRMED	neither the drug nor its class named in any sample-level field; no response or survival field; 11 patients < 20	THERAPY_IN_PAPER_ONLY
GSE301741	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE301741	Single cell analysis highlights the significance of malignant cell IFN/MHC-II for immunotherapy response in head and neck squamous cell carcinoma	https://pubmed.ncbi.nlm.nih.gov/41923630/	10.1016/j.xcrm.2026.102715	58	unknown	unknown	Homo sapiens	GPL24676	Expression profiling by high throughput sequencing	NEEDS_REVIEW:58	not recorded	Post;Pre	tissue: Oral Cavity=48, Larynx=8, Oropharynx=2; timepoint: Post=38, Pre=20; library type: 5prime=24, TCR=24, 3prime=10; cell type: CD3=33, Unsorted=11, CD45pos=8, CD45neg=4, CD45ratio=2; disease: HNSCC=58	none						False	cell type; disease; library type; timepoint; tissue	THERAPY_UNCONFIRMED	neither the drug nor its class named in any sample-level field; no response or survival field; 58 samples with unclassified sample type; n_patients unknown (no patient IDs and repeated sampling or single-cell design)	THERAPY_IN_PAPER_ONLY
GSE288199	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288199	Distinct CD8+ T cell dynamics associate with response to neoadjuvant cancer immunotherapies	https://pubmed.ncbi.nlm.nih.gov/40086437/	10.1016/j.ccell.2025.02.026	180	180	assumed_one_per_sample	Homo sapiens	GPL24676	Expression profiling by high throughput sequencing; Other	patient_tumor:180	not recorded	unknown	tissue: Tumor=180; cell type: CD45+ CD3+ T cells=165, CD45+ cells=13, CD45+ T cells=1, CD45+  cells=1; library type: GEX=60, ADT=60, VDJ=60	none						False	cell type; library type; tissue	THERAPY_UNCONFIRMED	neither the drug nor its class named in any sample-level field; no response or survival field	THERAPY_IN_PAPER_ONLY
GSE233980	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233980	Capturing the dynamic interactions between tumor and immune components of the tumor micro-environment is important for determining efficacy of anti-PD1 treatment [TBL]	https://pubmed.ncbi.nlm.nih.gov/38383563/	10.1038/s41467-024-45723-z	23	23	assumed_one_per_sample	Homo sapiens	GPL27956	Expression profiling by array	NEEDS_REVIEW:23	therapy: Naive=20, Neoadjuvant CT/RT=1, Neoadjuvant: CT=1, Radiotherapy=1	unknown	gender: Female=12, Male=11; site: Tongue=7, Buccal Mucosa=7, Alveolus=2, Larynx=1, Hard Palate=1, Oral Cavity=1, Mouth=1, Lip=1, RMT=1, GBS=1; sample type: Primary=23; cancer grade: Grade-1=16, Grade-2=6, Grade-3=1; cancer stage: III=9, II=6, IVA=5, IVb=2, IVB=1; cohort: SC1=9, SC2d=6, SC2a=5, SC2b=2, SC2c=1	none						False	age (years); cancer grade; cancer stage; cohort; gender; sample type; site; therapy	THERAPY_UNCONFIRMED	neither the drug nor its class named in any sample-level field; no response or survival field; 23 samples with unclassified sample type	THERAPY_IN_PAPER_ONLY
GSE307471	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE307471	Intratumoral bacteria are immunosuppressive and promote immunotherapy resistance in head and neck squamous cell carcinoma	https://pubmed.ncbi.nlm.nih.gov/41482523/	10.1038/s43018-025-01067-1	33	unknown	unknown	Homo sapiens;Mus musculus	GPL24247;GPL24676	Expression profiling by high throughput sequencing	cell_line:33	not recorded	unknown		none						False		WRONG_SAMPLE_TYPE	all samples are cell_line/model/perturbation; 9 samples from another organism excluded; neither the drug nor its class named in any sample-level field; no response or survival field	
