gse_accession	title	gdstype	n_samples	pubmed_ids	platform	is_superseries	prefilter	characterized
GSE345409	CD39-stratified CD8+ tumor-infiltrating lymphocytes from head and neck squamous cell carcinoma profiled by bulk RNA sequencing after ex vivo anti-PD-1 and polydatin treatment	Expression profiling by high throughput sequencing	12		GPL34281	False	n_samples_below_min	False
GSE333537	Phase I trial of intravenous VCN-01 oncolytic adenovirus and durvalumab in patients with head and neck metastatic squamous cell carcinoma refractory to immunotherapy	Expression profiling by high throughput sequencing	35		GPL18573	False	pass	False
GSE332566	Study of the predictive value of genomic, transcriptomic and epigenetic biomarkers in patients with recurrent and/or metastatic head and neck squamous cell carcinoma treated with PD-1/PD-L1 inhibitors	Methylation profiling by genome tiling array	26		GPL34510	False	pass	False
GSE314413	High throughput sequencing of T cells from a patient undergoing immune checkpoint inhibitor therapy [P365-5]	Expression profiling by high throughput sequencing	9		GPL30173	False	n_samples_below_min	False
GSE313598	High throughput sequencing study	Expression profiling by high throughput sequencing; Other	54		GPL30173	True	pass	False
GSE317007	FLARE: a Long-Read Nanopore Fragmentomics Pipeline Integrating Copy Number, Methylation, and End-Motif Analysis for Liquid Biopsy	Other	12	41908150	GPL26167	False	n_samples_below_min	False
GSE310856	Cisplatin-based chemoradiation induces delayed systemic tumor-specific T cells expansion in patients with locally advanced head and neck cancer	Expression profiling by high throughput sequencing	33	41749511	GPL24676	False	pass	True
GSE301720	Integrated single-cell and spatial analysis identifies context-dependent myeloid-T cell interactions in head and neck cancer immune checkpoint blockade response	Expression profiling by high throughput sequencing	8	41837744	GPL34284	False	n_samples_below_min	False
GSE301741	Single cell analysis highlights the significance of malignant cell IFN/MHC-II for immunotherapy response in head and neck squamous cell carcinoma	Expression profiling by high throughput sequencing	58	41923630	GPL24676	False	pass	True
GSE235832	Piezoeletric cold atmospheric plasma sensitizes head and neck cancer  to chemotherapy and immune checkpoint blockade therapy	Expression profiling by high throughput sequencing	24		GPL21290	False	pass	False
GSE307471	Intratumoral bacteria are immunosuppressive and promote immunotherapy resistance in head and neck squamous cell carcinoma	Expression profiling by high throughput sequencing	33	41482523	GPL24676;GPL24247	False	pass	True
GSE286827	4-1BB+ Tregs and inhibitory progenitor exhausted T cells confer resistance to anti-PD-L1 and anti-CTLA-4 combination therapy 	Expression profiling by high throughput sequencing	87	41045934	GPL20795	False	pass	True
