gse_accession	pubmed_id	pmcid	doi	title	journal	year	pub_text_level	pub_mentions_accession	pub_drug_mentioned	pub_disease_mentioned	pub_response_terms	pub_patient_count_sentences	pub_flags
GSE310856	41749511	PMC12959176	10.1080/2162402X.2026.2635806	Multidimensional immune profiling uncovers biphasic peripheral T-cell dynamics after chemoradiation in patients with locally advanced head and neck cancer.	Oncoimmunology	2026	full_text	True	True	True	non-responders;objective response;recist;responders	Bulk RNA-sequencing Bulk RNA-sequencing (RNA-seq) analysis was performed on the BSL, CRT-1M and CRT-3M PBMC samples from 11 patients. || Results Platinum-based CRT induced a delayed expansion of tumor-reactive T cells in peripheral blood From June 2017 to January 2019, 48 patients with LA-HNSCC treated with platinum-based CRT were enrolled, and blood samples were collected at the indicated timepoints for multidimensional immune analysis ( Figure 1A ). || Among the 26 patients tested, 22 patients (84. || 6%) had an anti-viral T cell response at BSL, while 18 patients (69.	THERAPY_IN_PAPER_ONLY
GSE301741	41923630	PMC13130666	10.1016/j.xcrm.2026.102715	Single-cell analysis highlights the significance of malignant cell IFN/MHC-II for immunotherapy response in head and neck squamous cell carcinoma.	Cell reports. Medicine	2026	full_text	True	True	True	non-responder;non-responders;responder;responders	Motivated by this gap, we performed single-cell RNA sequencing (scRNA-seq) on HNSCC patients pre- and post-neoadjuvant pembrolizumab treatment, profiling 137,020 cells from 16 patients. || Matched pre- and post-treatment samples were available for 10 patients, including five responders and five non-responders. || After pembrolizumab, the fraction of CD8 +  T cells increased and the fraction of CD4 +  T cells decreased significantly in 8 of 9 patients ( Figure S3 A). || In eight of 11 patients, genetic subclones were significantly linked to sampling time point ( p  < 0. || Here, we similarly noted a consistent increase in the IFN/MHC-II signature score across 7 of 8 patients. || We then identified genes that were consistently affected in at least 4 of 8 patients, without limiting the analysis to genes from the NMF-defined cell state signatures ( Table S2 ). || These four MHC-II genes were among the 11 genes that were upregulated in at least 5/8 patients ( Figure 2 F), highlighting the consistency of post-treatment MHC-II upregulation. || This cohort consisted of 43 pre- and post-treatment samples taken from 25 patients (8 responders and 17 non-responders). || The full protocol, trial design, patient characteristics, and clinical outcomes were recently reported 7  and include the 16 patients in this study. || In every metacluster containing factors from ≥2 patients, genes found in the factors of >50% of patients represented in the cluster were retained as a metaprogram signature and used to assign cell subtype. || This cohort consisted of 43 pre- and post-treatment samples taken from 25 patients (8 responders and 17 non-responders).	THERAPY_IN_PAPER_ONLY
GSE307471	41482523	PMC12823012	10.1038/s43018-025-01067-1	Intratumoral bacteria are immunosuppressive and promote immunotherapy resistance in head and neck squamous cell carcinoma.	Nature cancer	2026	full_text	True	True	True	objective response;responder;responders;CR;PD;PR;SD	In addition to these observations, we found no differences in treatment response based on tumor stage, human papillomavirus (HPV) status or smoking status among the 28 participants treated (Fig.	
GSE286827	41045934	PMC12629806	10.1016/j.xcrm.2025.102408	4-1BB+ Tregs and inhibitory progenitor exhausted T cells confer resistance to anti-PD-L1 and anti-CTLA-4 combination therapy.	Cell reports. Medicine	2025	full_text	True	True	True	non-responder;non-responders;recist;responder;responders	"Moreover, due to sample availability for translational analysis, we analyzed 29 patients with available single-cell transcriptomic data, although 45 patients were enrolled in the clinical study and there were no significant differences in baseline characteristics between patients with and without available samples for translational analysis ( Table S15 ). || com/ N/A 
 Experimental model and study participant details Pre- and/or post-treatment head and neck cancer tissues were obtained from 29 patients (27 male and 2 female) who underwent surgery between January 2019 and December 2020 at Yonsei University Severance Hospital. || The cohort had a median age of 60 years 13 patients were enrolled in the monotherapy group, and 16 patients were enrolled in the combination therapy group."	RESPONSE_IN_PAPER_ONLY
GSE291246	40314973	PMC12067265	10.1073/pnas.2501269122	Induced B cell receptor diversity predicts PD-1 blockade immunotherapy response.	Proceedings of the National Academy of Sciences of the United States of America	2025	full_text	True	True	True	non-responders;recist;responders;CR;PD;PR;SD	In the combined cohort of 93 patients (8 BCC, 12 Glioblastoma, 12 HNSCC, 61 Melanoma) across these four cancer types, overall survival was significantly better in patients exhibiting induced BCR clonal diversity following checkpoint blockade ( Fig.	RESPONSE_IN_PAPER_ONLY
GSE288199	40086437	PMC12359303	10.1016/j.ccell.2025.02.026	Distinct CD8+ T cell dynamics associate with response to neoadjuvant cancer immunotherapies.	Cancer cell	2025	full_text	True	True	True	recist;responders	3% of patients in the Nivo, Nivo+Rela, and Nivo+Ipi group had a TRAE of any grade, with grade ≥3 TRAEs occurring in 4 patients in the Nivo arm (G3 leukocytosis, weight loss, pain, and SAE hepatitis), 1 patient in the Nivo+Rela arm (G3 syncope) and 1 patient in Nivo+Ipi arm (SAE G4 hepatitis). || CD8 +  TIL from responding patients exhibit distinct baseline transcriptional states prior to neoadjuvant combination ICI treatments To study the association between transcriptional dynamics of T cells and pathologic responses to neoadjuvant ICI treatments, we isolated and profiled 372,914 CD45 + CD3 +  TIL ( Figure 2A ) from 35 patients (29 baseline and 31 post-surgical fresh tumor specimens; 20 patients having matched pre- and post-treatment biopsies), using the 10x Genomics 5’ scRNA-seq workflow ( Figure S2A ,  STAR Methods ). || When analyzing within the Nivo+Ipi cohort, we found that, among the top 50 DEG, genes upregulated in pTR-2 patients were associated with TCR signaling ( LAT ) 24 , inflammation ( IL32 , CXCR3 ) 25 – 27 , effector function ( GZMM ) or memory-associated phenotype ( LTB ) 28 , 29  characterized by expression of classical naïve/memory marker genes (eg. || Gene set enrichment analysis (GSEA) indicated that pTR-2 patients in the Nivo+Ipi cohort had an enrichment of effector CD8 +  T cell (T EFF ) gene programs ( Figure 2E ). || Further GSEA analysis showed that pTR-2 patients in the Nivo+Rela cohort had an enrichment of the IFN-I response gene program, whereas those in the Nivo+Ipi arm had an enrichment of T EFF  gene programs ( Figure 2E ). || Consequently, we compared the DEG between pTR-1 and pTR-0, revealing an upregulation of IFN-I response and HLA class II genes in pTR-1 patients ( Figure S2D ;  Table S2 ). || Baseline CD8 +  TILs from PD patients were less activated and had elevated expression of naïve/central memory T cell-associated markers ( SELL ,  IL7R ,  TCF7 ) compared to pTR-1 patients ( Figure S2E ). || GSEA further showed that baseline	THERAPY_IN_PAPER_ONLY
GSE281729	39585339	PMC11973698	10.1158/1078-0432.CCR-24-0037	Response-Adaptive Surgical Timing in Neoadjuvant Immunotherapy Demonstrates Enhanced Pathologic Treatment Response in Head and Neck Squamous Cell Carcinoma.	Clinical cancer research : an official journal of the American Association for Cancer Research	2025	full_text	True	True	True	non-responder;non-responders;recist;responder;responders	Arm B included 11 nivolumab alone subjects from this trial plus an additional prospective 19 subjects from the nivolumab alone cohort in a contemporaneous neoadjuvant clinical trial ( NCT03238365 ) for a total of 30 subjects ( Figure 1B ) ( 2 ). || We prospectively included 19 additional subjects from the nivolumab alone cohort in a contemporaneous neoadjuvant clinical trial ( NCT03238365 ) to achieve 80% power with two-sided significance level of 5% analysis for a total of 30 subjects (nivolumab alone) eligible for primary endpoint analysis ( 2 ). || Results: Between June 2019 and January 2022, 42 patients were enrolled and completed treatment at two institutions. || These 42 patients were combined with the 19 nivolumab alone patients from the companion trial ( NCT03854032 ) referenced in the methods to allow for 61 patients analyzed for the primary endpoint. || For analysis of pathologic response, 4 patients could not be assessed due to withdrawing from the trial prior to surgery and proceeding with non-operative treatment due to disease progression (n=2), patient preference (n=1), and adverse events (n=1); this resulted in 38 evaluable surgical specimens. || Nivolumab with and without BMS986205 was well-tolerated with the exception of 2 subjects experiencing grade 3 immune-related adverse events (IRAEs) in the nivolumab + BMS986205 arm. || All 9 patients with immune-desert TMEs showed no primary site response (p = 0. || 03) and only one of these 9 patients showed overall response (p = 0. || In contrast, 4 out of 5 patients with an immune-enriched TME showed both primary site and overall response (p=0.	RESPONSE_IN_PAPER_ONLY
GSE277573	39558036	PMC11573993	10.1038/s41698-024-00759-8	Methylation cytometric pretreatment blood immune profiles with tumor mutation burden as prognostic indicators for survival outcomes in head and neck cancer patients on anti-PD-1 therapy.	NPJ precision oncology	2024	full_text	True	True	True	non-responders;responders	A prospective multi-center study enrolled 100 patients before standard-of-care immunotherapy. || TMB and PD-L1 CPS were available for 56 and 91 patients, respectively. || Results 100 patients were recruited from August 2019 to January 2024 (Table  1 ). || 78 patients received anti-PD-1 monotherapy, 21 patients received anti-PD-1 therapy with chemotherapy, while 1 patient received anti-PD-1 therapy with the EGFR inhibitor cetuximab. || 4 56 and 91 patients had available data for TMB (Supplementary Table  3 ) and PD-L1 CPS (Supplementary Table  4 ), respectively. || Pretreatment peripheral blood immune profiles by survival outcomes The impact of pretreatment blood peripheral immune variables on survival outcomes was initially examined in 75 patients who received anti-PD-1 monotherapy exclusively. || Analysis of all 96 patients yielded findings consistent with the monotherapy data with binary immune variables (Fig. || TMB and survival outcomes Fifty-six out of 100 subjects (42: anti-PD-1 monotherapy, 5: along with chemotherapy, 1: along with cetuximab) with available TMB data were investigated for survival outcomes. || In the 47 patients receiving anti-PD-1 monotherapy, peripheral Monocyte proportion, CD4T cell proportion, and NK count also had a significant interaction with TMB and impacted OS (Interaction term  P  < 0. || PD-L1 CPS and survival outcomes Ninety out of 100 subjects (53: anti-PD-1 monotherapy, 6: along with chemotherapy, 1: along with cetuximab) had available PD-L1 CPS.	
GSE259280	39049036	PMC11267849	10.1186/s12967-024-05409-y	Spatial dynamics of tertiary lymphoid aggregates in head and neck cancer: insights into immunotherapy response.	Journal of translational medicine	2024	full_text	True	True	True	non-responder;non-responders;objective response;recist;responder;responders;CR;PD;PR;SD	"Materials and methods Patient cohort In this study, we identified a cohort of 41 patients with R/M HNSCC from the Royal Brisbane & Women’s Hospital (RBWH) (Ethics Approval LNR/2020/QRBW/66,744), and an additional 28 patients from the Princess Alexandra Hospital (PAH) (HREC/2022/QMS/89,452), all of whom were determined eligible for inclusion in our study. || Among the patients from RBWH, tissue samples were unavailable for 20 individuals, leaving 21 tissue blocks accessible for analysis. || Similarly, from the PAH cohort, 11 patients had insufficient tissue available, resulting in 17 tissue blocks that were viable for analysis. || ( 4 ,  6 ) Data analysis consisted of probe quality control (QC), principal component analysis (PCA), differential expression (DE) and gene set enrichment analysis (GSEA) were conducted and followed by spatial analyses, including cell phenotyping and mapping 
 Nanostring GeoMx digital spatial profiler The FFPE tissue sections from 34 patients were stained and processed for proteomics analysis using the Nanostring Digital Spatial Profiler (DSP) according to the manufacturer’s instructions at the Translational Research Institute (TRI) and Queensland University of Technology (QUT), Brisbane, Australia. || Nanostring GeoMx DSP data analysis The GeoMx DSP proteomics data consists of 468 ROI samples from 34 patients across 2 cohorts. || The data consisted of RNA abundance measurements of over 18,000 genes with measurements made on regions of interest across 3 patients’ tissue sections, however, one sample was eligible for our TLS analysis. || Results R/M HNSCC patient characteristics This study examined two independently collected cohorts of 69 patients with R/M HNSCC from July 2015 to December 2021, contributing 34 whole-slide specimens suitable for spatial analysis. || Table 1 R/M HNSCC cohort characteristics Patients’ characteristics 
 Characteristics 
 
 All patients 
 
 (N = 34) 
 
 Age, median (range) 
 66 (29–83) 
 Status 
  Alive 6 (18%) "	
GSE234138	38383563	PMC10881470	10.1038/s41467-024-45723-z	Tumor histoculture captures the dynamic interactions between tumor and immune components in response to anti-PD1 in head and neck cancer.	Nature communications	2024	full_text	True	True	True	non-responder;non-responders;responder;responders;CR;PD;PR;SD	Using a Head and Neck cancer patient derived TruTumor histoculture platform, the response spectrum of 70 patients to anti-PD1 treatment is investigated in this study.	
